track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
Heat Waves,Glass Animals,"['gauze_pop', 'indietronica', 'shiver_pop']",90,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp
THATS WHAT I WANT,Lil Nas X,"['lgbtq+_hip_hop', 'pop']",94,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,0e8nrvls4Qqv5Rfa2UhqmO
One Right Now (with The Weeknd),Post Malone,"['dfw_rap', 'melodic_rap', 'rap']",92,0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,00Blm7zeNqgYLPtW6zg8cj
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,['pop'],91,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,5enxwA8aAbwZbf5qCHORXi
Shivers,Ed Sheeran,"['pop', 'uk_pop']",95,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,50nfwKoDiSYg8zOCREWAm5
Happier Than Ever,Billie Eilish,"['art_pop', 'electropop', 'pop']",92,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,4RVwu0g32PAqgUiJoXsdF8
Way 2 Sexy (with Future & Young Thug),Drake,"['canadian_hip_hop', 'canadian_pop', 'hip_hop', 'rap', 'toronto_rap']",88,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,0k1WUmIRnG3xU6fvvDVfRG
traitor,Olivia Rodrigo,['pop'],92,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,5CZ40GBx1sQ9agT82CLQCT
Bad Habits,Ed Sheeran,"['pop', 'uk_pop']",95,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,3rmo8F54jFF8OgYsqTxm5d
Freaks,Surf Curse,"['dreamo', 'indie_surf', 'surf_punk', 'vegas_indie']",89,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,7EkWXAI1wn8Ii883ecd9xr
Oh My God,Adele,"['british_soul', 'pop', 'pop_soul', 'uk_pop']",93,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,3Kkjo3cT83cw09VJyrLNwX
Dos Oruguitas,Sebastian Yatra,"['colombian_pop', 'latin', 'reggaeton', 'reggaeton_colombiano']",86,0.423,0.355,0,-10.565,1,0.0454,0.761,0.0,0.0915,0.465,93.788,5rohUzwEoRsUvAA1Bf3DLo
Wants and Needs (feat. Lil Baby),Drake,"['canadian_hip_hop', 'canadian_pop', 'hip_hop', 'rap', 'toronto_rap']",86,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,65OVbaJR5O1RmwOQx0875b
YKWIM?,Yot Club,['bedroom_pop'],87,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,2vWBUC9djv6BtiGlmKiQaH
Blinding Lights,The Weeknd,"['canadian_contemporary_r&b', 'canadian_pop', 'pop']",93,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b
By Your Side,Rod Wave,['florida_rap'],83,0.649,0.508,8,-10.232,1,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975,2AaJeBEq3WLcfFW1y8svDf
drivers license,Olivia Rodrigo,['pop'],92,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,5wANPM4fQCJwkGd4rN57mH
You Right,Doja Cat,"['dance_pop', 'pop']",89,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,0k4d5YPDr1r7FX77VdqWez
love nwantiti (ah ah ah),CKay,['afro_r&b'],93,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,2Xr1dTzJee307rmrkt8c0g
Softcore,The Neighbourhood,"['modern_alternative_rock', 'modern_rock', 'pop']",91,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,2K7xn816oNHJZ0aVqdQsha
All Girls Are The Same,Juice WRLD,"['chicago_rap', 'melodic_rap']",86,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4VXIryQMWpIdGgYR4TrjT1
Notion,The Rare Occasions,['la_indie'],88,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,0sTlGEld0h8kIPZaKDYUf4
deja vu,Olivia Rodrigo,['pop'],90,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,6HU7h9RYOaPRFeh0R3UeAr
Kiss Me More (feat. SZA),Doja Cat,"['dance_pop', 'pop']",90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,748mdHapucXQri7IAO8yFK
Good Days,SZA,"['pop', 'r&b']",86,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,3YJJjQPAbDT7mGpX3WtQ9A
Lucid Dreams,Juice WRLD,"['chicago_rap', 'melodic_rap']",88,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,285pBltuF7vW8TeWk8hdRR
Tell Em,Cochise,"['plugg', 'pluggnb']",86,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,7nc7mlSdWYeFom84zZ8Wr8
Jugaste y Sufrí,Eslabon Armado,"['corrido', 'corridos_tumbados', 'nuevo_regional_mexicano', 'sierreno']",86,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,3NqBxTOMCJ3zW9CIP51td4
Get Into It (Yuh),Doja Cat,"['dance_pop', 'pop']",88,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,0W6I02J9xcqK8MtSeosEXb
Pepas,Farruko,"['latin', 'reggaeton', 'trap_latino']",94,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,5fwSHlTEWpluwOM0Sxnh5k
Hrs and Hrs,Muni Long,"['alternative_r&b', 'indie_r&b', 'pop_r&b', 'pop_rap', 'r&b']",86,0.511,0.525,8,-4.595,0,0.183,0.604,0.0,0.111,0.661,139.885,3xRH6FPVtheDyNla3T1FE7
family ties (with Kendrick Lamar),Baby Keem,"['hip_hop', 'rap']",84,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14,7Bpx2vsWfQFBACRz4h3IqH
Martin & Gina,Polo G,['chicago_rap'],86,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,1VLtjHwRWOVJiE5Py7JxoQ
Fair Trade (with Travis Scott),Drake,"['canadian_hip_hop', 'canadian_pop', 'hip_hop', 'rap', 'toronto_rap']",87,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,40iJIUlhi6renaREYGeIDS
Smokin Out The Window,Bruno Mars,"['dance_pop', 'pop']",87,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,4iN16F8JtVxG2UTzp3avGl
Buy Dirt,Jordan Davis,['contemporary_country'],82,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,69AIpwGNLxr4qS1X5ynx60
SLOW DANCING IN THE DARK,Joji,"['alternative_r&b', 'viral_pop']",86,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,0rKtyWc8bvkriBthvHKY8d
NEW MAGIC WAND,"Tyler, The Creator","['hip_hop', 'rap']",86,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,0fv2KH6hac06J86hBUTcSf
Drip Too Hard (Lil Baby & Gunna),Lil Baby,"['atl_hip_hop', 'atl_trap', 'rap', 'trap']",85,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,78QR3Wp35dqAhFEc2qAGjE
Yonaguni,Bad Bunny,"['latin', 'reggaeton', 'trap_latino']",94,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,2JPLbjOn0wPCngEot2STUS
Praise God,Kanye West,"['chicago_rap', 'rap']",88,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,0WSEq9Ko4kFPt8yo3ICd6T
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,"['canadian_contemporary_r&b', 'canadian_pop', 'pop']",91,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,37BZB0z9T8Xu7U3e65qxFy
Shoota (feat. Lil Uzi Vert),Playboi Carti,"['atl_hip_hop', 'plugg', 'pluggnb', 'rap', 'trap']",83,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,2BJSMvOGABRxokHKB0OI8i
Streets,Doja Cat,"['dance_pop', 'pop']",87,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,60ynsPSSKe6O3sfwRnIBRf
Circles,Post Malone,"['dfw_rap', 'melodic_rap', 'rap']",88,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb
Ghost,Justin Bieber,"['canadian_pop', 'pop']",91,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,6I3mqTwhRpn34SLVafSH7G
2055,Sleepy Hallow,"['brooklyn_drill', 'nyc_rap']",86,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,4XvcHTUfIlWfyJTRG0aqlo
Heather,Conan Gray,"['bedroom_pop', 'indie_pop', 'pop']",89,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA
Big Energy,Latto,"['pop', 'pop_r&b', 'r&b', 'trap_queen']",82,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,6Zu3aw7FfjAF9WA0fA81Oq
"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,"['florida_rap', 'rap', 'trap']",82,0.739,0.74,5,-5.86,0,0.333,0.0045,0.0,0.161,0.488,75.575,4yNoUQkYf1QF8iYlEzNynH
telepatía,Kali Uchis,"['colombian_pop', 'pop', 'r&b']",87,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,6tDDoYIxWvMLTdKpjFkc1B
For Tonight,Giveon,"['pop', 'r&b']",84,0.442,0.517,9,-7.807,1,0.0548,0.0699,0.0,0.114,0.2,79.867,61Emqg95O9zo1GNOcyxq4Y
favorite crime,Olivia Rodrigo,['pop'],88,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,5JCoSi02qi3jJeHdZXMmR8
MONTERO (Call Me By Your Name),Lil Nas X,"['lgbtq+_hip_hop', 'pop']",90,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,1SC5rEoYDGUK4NfG82494W
we fell in love in october,girl in red,"['bedroom_pop', 'bubblegrunge', 'indie_pop', 'norwegian_indie', 'pop']",87,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,1BYZxKSf0aTxp8ZFoeyM3d
Man in the Mirror,A Boogie Wit da Hoodie,"['melodic_rap', 'rap', 'trap']",83,0.849,0.631,3,-4.241,0,0.0637,0.171,0.0,0.149,0.55,135.997,7uLFOXgLrS90tEYPO1DGXy
Whiskey Glasses,Morgan Wallen,['contemporary_country'],81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,6foY66mWZN0pSRjZ408c00
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,"['latin', 'latin_hip_hop', 'latin_pop', 'pop_reggaeton', 'reggaeton', 'trap_latino']",94,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4gzsuuZypVbxs0Af1LSZyB
Wishing Well,Juice WRLD,"['chicago_rap', 'melodic_rap']",84,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,2U5WueTLIK5WJLD7mvDODv
Washing Machine Heart,Mitski,['brooklyn_indie'],86,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,3jjsRKEsF42ccXf8kWR3nu
Ain't Shit,Doja Cat,"['dance_pop', 'pop']",85,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,5lAnYvAIkSDNXqfo7DyFUm
My Universe,Coldplay,"['permanent_wave', 'pop']",92,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,3FeVmId7tL5YN8B7R3imoM
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,"['dark_trap', 'new_orleans_rap', 'underground_hip_hop']",85,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,30QR0ndUdiiMQMA9g1PGCm
my ex's best friend (with blackbear),Machine Gun Kelly,"['ohio_hip_hop', 'pop_rap']",84,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,7kDUspsoYfLkWnZR7qwHZl
Love & War,Kodak Black,"['florida_rap', 'hip_hop', 'melodic_rap', 'miami_hip_hop', 'rap', 'trap']",82,0.762,0.649,11,-5.624,0,0.0527,0.58,1.7e-05,0.0971,0.501,145.09,1WGmhglF1ghRiHsx4YUq86
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,"['afro_r&b', 'ghanaian_alternative', 'ghanaian_pop']",89,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,09gysnJpfQ3ublBmJDfcEC
Yes Indeed,Lil Baby,"['atl_hip_hop', 'atl_trap', 'rap', 'trap']",82,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,6vN77lE9LK6HP2DewaN6HZ
No Love (with SZA),Summer Walker,"['pop', 'r&b']",84,0.707,0.618,1,-5.825,0,0.19,0.17,0.0,0.293,0.517,133.876,08SB2OtZkaliju77WYEKxk
Save Your Tears,The Weeknd,"['canadian_contemporary_r&b', 'canadian_pop', 'pop']",90,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,5QO79kh1waicV47BqGRL3g
Life Goes On,Oliver Tree,['alternative_hip_hop'],89,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,0eu4C55hL6x29mmeAjytzC
Wasted On You,Morgan Wallen,['contemporary_country'],80,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3cBsEDNhFI9E82vPj3kvi3
you broke me first,Tate McRae,"['alt_z', 'dance_pop', 'pop', 'post-teen_pop']",88,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,45bE4HXI0AwGZXfZtMp8JR
Monëy so big,Yeat,['pluggnb'],82,0.693,0.575,2,-7.633,1,0.0906,0.121,0.0,0.104,0.353,138.016,7BbaIYAdi3pg4MGl6PHwPv
Mood (feat. iann dior),24kGoldn,"['cali_rap', 'pop_rap']",89,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,4jPy3l0RUwlUI9T5XHBW2m
Kilby Girl,The Backseat Lovers,"['modern_rock', 'slc_indie']",82,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,1170VohRSx6GwE6QDCHPPH
Heartbreak Anniversary,Giveon,"['pop', 'r&b']",86,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3FAJ6O0NOHQV8Mc5Ri6ENp
Girls Want Girls (with Lil Baby),Drake,"['canadian_hip_hop', 'canadian_pop', 'hip_hop', 'rap', 'toronto_rap']",85,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,37Nqx7iavZpotJSDXZWbJ3
RAPSTAR,Polo G,['chicago_rap'],83,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,43PGPuHIlVOc04jrZVh9L6
MIDDLE CHILD,J. Cole,"['conscious_hip_hop', 'hip_hop', 'north_carolina_hip_hop', 'rap']",83,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,2JvzF1RMd7lE3KmFlsyZD8
It'll Be Okay,Shawn Mendes,"['canadian_pop', 'dance_pop', 'pop', 'viral_pop']",90,0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,2KnLkZ3z7PO3kgVGHGqDpD
Come & Go (with Marshmello),Juice WRLD,"['chicago_rap', 'melodic_rap']",84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,2Y0wPrPQBrGhoLn14xRYCG
EARFQUAKE,"Tyler, The Creator","['hip_hop', 'rap']",83,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,5hVghJ4KaYES3BFUATCYn0
The Motto,Tiësto,"['big_room', 'brostep', 'dance_pop', 'dutch_edm', 'edm', 'house', 'pop', 'pop_dance', 'slap_house', 'trance', 'tropical_house']",93,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,18asYwWugKjjsihZ0YvRxO
Fell In Luv (feat. Bryson Tiller),Playboi Carti,"['atl_hip_hop', 'plugg', 'pluggnb', 'rap', 'trap']",82,0.657,0.668,2,-6.208,1,0.136,0.0273,0.0,0.32,0.227,162.997,1s9DTymg5UQrdorZf43JQm
Calling My Phone,Lil Tjay,"['brooklyn_drill', 'melodic_rap', 'nyc_rap']",85,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,3J8EOeKLTLXORtWPpOU5bE
Sand In My Boots,Morgan Wallen,['contemporary_country'],79,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,0uRrG2jRR5tuifsYIJHEao
SAD!,XXXTENTACION,"['emo_rap', 'miami_hip_hop']",86,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,3ee8Jmje8o58CHK66QrVC2
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"['canadian_pop', 'pop']",90,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4iJyoBOLtHqaGxP12qzhQI
Lost in the Fire (feat. The Weeknd),Gesaffelstein,"['dark_clubbing', 'destroy_techno']",88,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,2vXKRlJBXyOcvZYTdNeckS
No Idea,Don Toliver,"['pop', 'rap', 'trap']",86,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,7AzlLxHn24DxjgQX73F9fU
LOT OF ME,Lil Tecca,"['melodic_rap', 'pluggnb', 'rap', 'trap']",82,0.704,0.537,0,-8.565,1,0.302,0.223,0.0,0.122,0.7,77.444,2ZXxRC6V6AXzMdbLQZMHSB
Formula,Labrinth,"['indie_poptimism', 'pop']",88,0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,6EtKlIQmGPB9SX8UjDJG5s
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"['dfw_rap', 'melodic_rap', 'rap']",87,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,3KkXRkHbMCARz0aVfEt68P
happier,Olivia Rodrigo,['pop'],88,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,2tGvwE8GcFKwNdAXMnlbfl
Happier Than Ever - Edit,Billie Eilish,"['art_pop', 'electropop', 'pop']",87,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,32BeYxKPrig1LefHsC0Xuo
lovely (with Khalid),Billie Eilish,"['art_pop', 'electropop', 'pop']",89,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,0u2P5u6lvoDfwTYjAADbn4
Watermelon Sugar,Harry Styles,['pop'],90,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY
1 Scale (feat. G Herbo),Young Dolph,"['gangster_rap', 'hip_hop', 'memphis_hip_hop', 'rap', 'southern_hip_hop', 'tennessee_hip_hop', 'trap']",80,0.878,0.635,6,-5.811,0,0.24,0.0289,0.0,0.276,0.331,135.035,5gmkw2031VVIboYqPIjSWB
"jealousy, jealousy",Olivia Rodrigo,['pop'],87,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,0MMyJUC3WNnFS1lit5pTjk
Fancy Like,Walker Hayes,"['contemporary_country', 'country', 'country_road', 'modern_country_rock']",81,0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018,3ZozFqJJlDBNIm4xqxn2ZD
Nothing,Bruno Major,"['chill_r&b', 'pop']",87,0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,2IAR0DziHCjSu16gR4ihvy
Hope,XXXTENTACION,"['emo_rap', 'miami_hip_hop']",87,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,2ZRo7axmMPeSVUvDbGkJah
Moth To A Flame (with The Weeknd),Swedish House Mafia,"['dance_pop', 'edm', 'electro_house', 'pop', 'pop_dance', 'progressive_electro_house']",92,0.542,0.659,8,-7.289,1,0.0389,0.00279,0.0,0.105,0.109,120.122,2gpWyfu7eZ01zzncHpxOtA
Godzilla (feat. Juice WRLD),Eminem,"['detroit_hip_hop', 'hip_hop', 'rap']",86,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,7FIWs0pqAYbP91WWM0vlTQ
Forever After All,Luke Combs,"['contemporary_country', 'country', 'country_road']",80,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,6IBcOGPsniK3Pso1wHIhew
Volví,Aventura,"['bachata', 'bachata_dominicana', 'latin', 'latin_hip_hop', 'latin_pop', 'trap_latino', 'tropical']",91,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,2vmfvSoZBFAt9hhRoEByLi
Megan's Piano,Megan Thee Stallion,"['houston_rap', 'pop', 'trap_queen']",81,0.953,0.621,11,-7.565,1,0.154,0.00799,4.87e-06,0.307,0.378,132.063,4HyVMzg0sUQsdOxRvSO8Ka
Self Care,Mac Miller,"['hip_hop', 'pittsburgh_rap', 'rap']",82,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,5bJ1DrEM4hNCafcDd1oxHx
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator","['hip_hop', 'rap']",81,0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,5B0kgjHULYJhAQkK5XsMoC
Levitating (feat. DaBaby),Dua Lipa,"['dance_pop', 'pop', 'uk_pop']",89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,5nujrmhLynf4yMoMtj8AQF
All For Us - from the HBO Original Series Euphoria,Labrinth,"['indie_poptimism', 'pop']",87,0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,0.172,70.956,10hMM5nsZQf66ldBlgWBfG
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,['brooklyn_drill'],85,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,0PvFJmanyNQMseIFrU708S
You Get Me So High,The Neighbourhood,"['modern_alternative_rock', 'modern_rock', 'pop']",84,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,7zwn1eykZtZ5LODrf7c0tS
